Sample_ID,Label,y_true,y_predicted
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,4,2.8
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,4,3.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,4,3.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,4,3.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,4,3.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,2,1.2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,2,1.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,2,1.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,2,1.2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,2,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,0,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,0,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,0,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,0,1.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,0,1.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,3,2.8
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,3,3.2
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,3,3.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,3,4.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,3,3.8
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,1,0.2
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,1,0.8
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,1,0.6
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,1,0.6
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,1,1.2
